Nombre de la Unidad Económica,Nombre de asentamiento humano,Código Postal,Área geoestadística básica ,Latitud,Longitud,poly_idx,CVE_AGEB
ABARROTES EL POLVADERO,AQUILES SERDAN,80180,3808,24.76554162,-107.42082,294,3808
ABARROTES JR,INFONAVIT HUMAYA,80020,3314,24.82316187,-107.414101,287,3314
ABARROTES,RAFAEL BUELNA,80260,3530,24.78624769,-107.3804506,387,3530
ABARROTES NIÑITA,BACHIGUALATO,80140,5664,24.77344131,-107.4628619,549,5664
ABARROTERA,VICENTE LOMBARTO TOLEDANO,80010,19,24.84261536,-107.3943908,300,0019
ABARROTES NUÑEZ,GUSTAVO DIAZ ORDAZ,80180,362A,24.77883673,-107.419777,385,362A
TIENDITA SIN NOMBRE,LAURELES PINOS,80246,6342,24.78196663,-107.3553964,148,6342
ABARROTES MALENA,FINISTERRA,80194,5113,24.7479086,-107.4234469,87,5113
ESTNQUILLO,LA PUERTA,80029,5556,24.83735932,-107.4237262,181,5556
ABARROTES TERE,JUNTAS DE HUMAYA,80054,5518,24.81200725,-107.4160988,272,5518
ABARROTES GIRASOL,10 DE MAYO,80270,3761,24.77865112,-107.3777284,176,3761
SPEEDY LUNCH,LOS ALAMOS,80106,4882,24.79876032,-107.4341337,324,4882
ABARROTES MARTITA,VICENTE LOMBARDO TOLEDANO,80010,1820,24.84823674,-107.3930895,608,1820
ABARROTES,5 DE MAYO,80230,292,24.79576292,-107.3801975,329,0292
ABARROTES ITZEL,JESUS MANUEL VALDEZ,80300,7410,24.74083534,-107.3781591,81,7410
